Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic
Module File,"apply_channel.py",6,149,38,76,0,6,,2,2.00,6
Module File,"basis.py",2,55,7,31,0,2,,1,4.43,2
Module File,"bb84.py",1,48,6,29,0,1,,0,4.83,1
Module File,"bell.py",5,66,14,37,0,5,,0,2.64,5
Module File,"bell_inequality_max.py",14,149,52,67,0,14,,5,1.29,14
Module File,"bitflip.py",4,79,15,40,0,4,,1,2.67,4
Module File,"brauer.py",2,76,12,47,0,2,,1,3.92,2
Module File,"breuer.py",2,53,10,27,0,2,,1,2.70,2
Module File,"bures_angle.py",2,72,6,48,0,2,,1,8.00,2
Module File,"bures_distance.py",2,73,6,48,0,2,,1,8.00,2
Module File,"calculate_vector_matrix_dimension.py",6,37,13,16,0,6,,2,1.23,6
Module File,"channel_dim.py",9,146,74,43,0,13,,2,0.58,17
Module File,"channel_fidelity.py",3,100,19,55,0,3,,1,2.89,3
Package,"channel_metrics",0,7,5,1,,0,,0,,0
Package,"channel_metrics",3,100,19,55,,3,,1,,3
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",1,35,5,20,,1,,0,,1
Package,"channel_metrics",4,71,26,26,,4,,1,,4
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",1,54,4,35,,1,,0,,1
Package,"channel_metrics",5,178,54,87,,5,,1,,5
Package,"channel_metrics",0,1,0,1,,0,,0,,0
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Package,"channel_metrics",0,0,0,0,,0,,0,,0
Function,"channel_metrics.channel_fidelity.channel_fidelity",,92,16,54,3,,,1,3.38,
Function,"channel_metrics.completely_bounded_spectral_norm.completely_bounded_spectral_norm",,27,2,19,1,,,0,9.50,
Function,"channel_metrics.completely_bounded_trace_norm.completely_bounded_trace_norm",,61,21,25,4,,,1,1.19,
Function,"channel_metrics.diamond_distance.diamond_distance",,49,3,34,1,,,0,11.33,
Function,"channel_metrics.fidelity_of_separability.fidelity_of_separability",,163,49,82,5,,,1,1.67,
Package,"channel_metrics.tests",0,1,0,1,,0,,0,,0
Package,"channel_metrics.tests",1,44,30,7,,1,,1,,3
Package,"channel_metrics.tests",1,14,9,2,,1,,0,,1
Package,"channel_metrics.tests",1,45,30,9,,1,,1,,3
Package,"channel_metrics.tests",1,41,28,7,,1,,1,,2
Package,"channel_metrics.tests",1,48,30,9,,1,,1,,3
Function,"channel_metrics.tests.test_channel_fidelity.test_channel_fidelity",,4,3,1,1,,,0,0.33,
Function,"channel_metrics.tests.test_channel_fidelity.test_channel_fidelity_raises_error",,4,3,1,1,,,1,0.33,
Function,"channel_metrics.tests.test_completely_bounded_spectral_norm.test_dual_is_cb_trace_norm",,4,3,1,1,,,0,0.33,
Function,"channel_metrics.tests.test_completely_bounded_trace_norm.test_cb_trace_norm",,4,3,1,1,,,0,0.33,
Function,"channel_metrics.tests.test_completely_bounded_trace_norm.test_cb_trace_norm_invalid_input",,8,7,1,1,,,1,0.14,
Function,"channel_metrics.tests.test_diamond_distance.test_diamond_norm_invalid_inputs",,4,3,1,1,,,1,0.33,
Function,"channel_metrics.tests.test_diamond_distance.test_diamond_norm_valid_inputs",,4,3,1,1,,,0,0.33,
Function,"channel_metrics.tests.test_fidelity_of_separability.test_errors_channel_SDP",,4,3,1,1,,,1,0.33,
Function,"channel_metrics.tests.test_fidelity_of_separability.test_sdp_output",,4,3,1,1,,,0,0.33,
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,9,7,1,,0,,0,,0
Package,"channel_ops",6,149,38,76,,6,,2,,6
Package,"channel_ops",3,126,33,68,,3,,2,,3
Package,"channel_ops",6,103,19,63,,6,,1,,6
Package,"channel_ops",6,97,16,62,,6,,2,,6
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",1,72,14,40,,1,,0,,1
Package,"channel_ops",2,33,7,18,,2,,1,,2
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",12,195,95,68,,12,,3,,12
Package,"channel_ops",0,1,0,1,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Package,"channel_ops",0,0,0,0,,0,,0,,0
Function,"channel_ops.apply_channel.apply_channel",,139,34,75,6,,,2,2.21,
Function,"channel_ops.choi_to_kraus.choi_to_kraus",,117,29,67,3,,,2,2.31,
Function,"channel_ops.complementary_channel.complementary_channel",,98,18,62,6,,,1,3.44,
Function,"channel_ops.dual_channel.dual_channel",,89,13,61,6,,,2,4.69,
Function,"channel_ops.kraus_to_choi.kraus_to_choi",,63,10,39,1,,,0,3.90,
Function,"channel_ops.natural_representation.natural_representation",,26,5,17,2,,,1,3.40,
Function,"channel_ops.partial_channel.partial_channel",,184,90,67,12,,,3,0.74,
Package,"channel_ops.tests",0,1,0,1,,0,,0,,0
Package,"channel_ops.tests",2,61,38,11,,3,,1,,6
Package,"channel_ops.tests",2,133,109,7,,4,,2,,7
Package,"channel_ops.tests",1,77,50,18,,2,,1,,4
Package,"channel_ops.tests",1,94,69,12,,2,,1,,4
Package,"channel_ops.tests",1,130,101,8,,1,,0,,2
Package,"channel_ops.tests",1,74,52,10,,1,,1,,5
Package,"channel_ops.tests",3,166,135,11,,4,,2,,10
Function,"channel_ops.tests.test_apply_channel.test_apply_channel",,4,3,1,1,,,0,0.33,
Function,"channel_ops.tests.test_apply_channel.test_apply_channel_cpt_kraus",,14,10,1,3,,,1,0.10,
Function,"channel_ops.tests.test_apply_channel.test_apply_channel_invalid_input",,4,3,1,1,,,1,0.33,
Function,"channel_ops.tests.test_choi_to_kraus.test_choi_to_kraus",,11,8,1,4,,,2,0.13,
Function,"channel_ops.tests.test_choi_to_kraus.test_choi_to_kraus_general_map",,8,5,1,1,,,0,0.20,
Function,"channel_ops.tests.test_choi_to_kraus.test_choi_to_kraus_non_square_reduced_rank",,7,6,1,1,,,0,0.17,
Function,"channel_ops.tests.test_complementary_channel.test_complementary_channel",,8,5,2,2,,,1,0.40,
Function,"channel_ops.tests.test_complementary_channel.test_complementary_channel_error",,4,3,1,1,,,1,0.33,
Function,"channel_ops.tests.test_dual_channel.test_dual_channel",,8,6,1,2,,,1,0.17,
Function,"channel_ops.tests.test_dual_channel.test_dual_channel_error",,4,3,1,1,,,1,0.33,
Function,"channel_ops.tests.test_kraus_to_choi.test_kraus_to_choi",,4,3,1,1,,,0,0.33,
Function,"channel_ops.tests.test_natural_representataion.test_natural_representation_completeness",,5,4,1,1,,,0,0.25,
Function,"channel_ops.tests.test_natural_representataion.test_natural_representation_different_dimensions",,6,5,1,1,,,1,0.20,
Function,"channel_ops.tests.test_natural_representataion.test_natural_representation_trace_preserving",,8,7,1,1,,,0,0.14,
Function,"channel_ops.tests.test_natural_representataion.test_natural_representation_valid_inputs",,4,3,1,1,,,0,0.33,
Function,"channel_ops.tests.test_partial_channel.test_partial_channel",,10,8,1,4,,,1,0.13,
Function,"channel_ops.tests.test_partial_channel.test_partial_channel_cpt_kraus",,21,17,1,3,,,1,0.06,
Function,"channel_ops.tests.test_partial_channel.test_partial_channel_error",,8,6,1,2,,,2,0.17,
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,11,9,1,,0,,0,,0
Package,"channel_props",3,82,8,56,,3,,1,,3
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",2,94,12,57,,2,,1,,2
Package,"channel_props",8,94,27,45,,8,,2,,8
Package,"channel_props",3,82,13,48,,3,,1,,3
Package,"channel_props",2,80,11,47,,2,,1,,2
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",2,80,11,49,,2,,1,,2
Package,"channel_props",3,106,21,58,,3,,1,,3
Package,"channel_props",1,69,13,38,,1,,0,,1
Package,"channel_props",6,91,17,52,,6,,2,,6
Package,"channel_props",0,1,0,1,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Package,"channel_props",0,0,0,0,,0,,0,,0
Function,"channel_props.choi_rank.choi_rank",,75,6,55,3,,,1,9.17,
Function,"channel_props.is_completely_positive.is_completely_positive",,85,8,56,2,,,1,7.00,
Function,"channel_props.is_extremal.is_extremal",,86,24,44,8,,,2,1.83,
Function,"channel_props.is_herm_preserving.is_herm_preserving",,74,10,47,3,,,1,4.70,
Function,"channel_props.is_positive.is_positive",,72,8,46,2,,,1,5.75,
Function,"channel_props.is_quantum_channel.is_quantum_channel",,72,8,48,2,,,1,6.00,
Function,"channel_props.is_trace_preserving.is_trace_preserving",,98,18,57,3,,,1,3.17,
Function,"channel_props.is_unital.is_unital",,60,9,37,1,,,0,4.11,
Function,"channel_props.is_unitary.is_unitary",,83,14,51,6,,,2,3.64,
Package,"channel_props.tests",0,1,0,1,,0,,0,,0
Package,"channel_props.tests",1,42,26,6,,1,,1,,3
Package,"channel_props.tests",1,19,9,3,,1,,0,,2
Package,"channel_props.tests",1,98,63,20,,1,,1,,2
Package,"channel_props.tests",1,34,17,5,,1,,0,,4
Package,"channel_props.tests",1,19,9,3,,1,,0,,2
Package,"channel_props.tests",1,19,9,3,,1,,0,,2
Package,"channel_props.tests",1,19,12,2,,1,,0,,2
Package,"channel_props.tests",1,59,37,7,,1,,1,,6
Package,"channel_props.tests",1,42,20,7,,1,,0,,6
Function,"channel_props.tests.test_choi_rank.test_choi_bad_input",,8,4,3,1,,,1,0.75,
Function,"channel_props.tests.test_choi_rank.test_choi_rank_choi_matrix",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_choi_rank.test_choi_rank_list_kraus",,18,16,1,1,,,0,0.06,
Function,"channel_props.tests.test_is_completely_positive.test_is_completely_positive_choi_true",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_completely_positive.test_is_completely_positive_kraus_false",,6,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_extremal.test_is_extremal",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_extremal.test_is_extremal_value_errors",,4,3,1,1,,,1,0.33,
Function,"channel_props.tests.test_is_herm_preserving.test_is_herm_preserving_choi_true",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_herm_preserving.test_is_herm_preserving_kraus_false",,6,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_herm_preserving.test_is_herm_preserving_kraus_true",,6,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_herm_preserving.test_is_herm_preserving_non_square",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_positive.test_is_positive_choi_true",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_positive.test_is_positive_kraus_false",,6,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_quantum_channel.test_is_completely_positive_choi_true",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_quantum_channel.test_is_completely_positive_kraus_false",,6,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_trace_preserving.test_is_trace_prserving",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_unital.test_is_unital_choi_isometry_true",,5,4,1,1,,,0,0.25,
Function,"channel_props.tests.test_is_unital.test_is_unital_depolarizing_choi_true",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_unital.test_is_unital_isometry_true",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_unital.test_is_unital_isometry_true_unspecified_dim",,6,5,1,1,,,1,0.20,
Function,"channel_props.tests.test_is_unital.test_is_unital_kraus_true",,18,16,1,1,,,0,0.06,
Function,"channel_props.tests.test_is_unital.test_is_unital_swap_operator_choi_true",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_cp_channel_false",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_depolarizing_false",,3,2,1,1,,,0,0.50,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_false",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_identity_channel_true",,5,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_isometry_false",,4,3,1,1,,,0,0.33,
Function,"channel_props.tests.test_is_unitary.test_is_unitary_transpose_map_false",,3,2,1,1,,,0,0.50,
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,13,11,1,,0,,0,,0
Package,"channels",5,85,25,39,,5,,1,,5
Package,"channels",4,79,15,40,,4,,1,,4
Package,"channels",1,106,5,79,,1,,0,,1
Package,"channels",1,89,5,61,,1,,0,,1
Package,"channels",1,95,5,64,,1,,0,,1
Package,"channels",15,215,66,112,,15,,3,,15
Package,"channels",12,203,75,90,,12,,2,,12
Package,"channels",10,104,34,45,,10,,2,,10
Package,"channels",4,58,15,28,,4,,1,,4
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",6,80,25,35,,6,,1,,6
Package,"channels",1,52,7,32,,1,,0,,1
Package,"channels",0,1,0,1,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Package,"channels",0,0,0,0,,0,,0,,0
Function,"channels.amplitude_damping.amplitude_damping",,80,24,38,5,,,1,1.58,
Function,"channels.bitflip.bitflip",,74,14,39,4,,,1,2.79,
Function,"channels.choi.choi",,99,3,78,1,,,0,26.00,
Function,"channels.dephasing.dephasing",,82,3,60,1,,,0,20.00,
Function,"channels.depolarizing.depolarizing",,88,3,63,1,,,0,21.00,
Function,"channels.partial_trace.partial_trace",,205,61,111,15,,,3,1.82,
Function,"channels.partial_transpose.partial_transpose",,193,70,89,12,,,2,1.27,
Function,"channels.pauli_channel.pauli_channel",,94,29,44,10,,,2,1.52,
Function,"channels.phase_damping.phase_damping",,53,14,27,4,,,1,1.93,
Function,"channels.realignment.realignment",,72,22,34,6,,,1,1.55,
Function,"channels.reduction.reduction",,44,4,31,1,,,0,7.75,
Package,"channels.tests",0,1,0,1,,0,,0,,0
Package,"channels.tests",2,112,76,19,,5,,2,,9
Package,"channels.tests",1,83,58,13,,1,,1,,6
Package,"channels.tests",1,52,36,5,,1,,0,,2
Package,"channels.tests",1,30,16,3,,1,,0,,2
Package,"channels.tests",1,30,16,3,,1,,0,,2
Package,"channels.tests",1,629,547,71,,1,,1,,4
Package,"channels.tests",1,740,585,60,,1,,1,,19
Package,"channels.tests",2,169,91,36,,3,,2,,9
Package,"channels.tests",2,102,65,17,,3,,1,,9
Package,"channels.tests",1,72,47,11,,1,,0,,4
Package,"channels.tests",1,43,33,3,,1,,0,,2
Function,"channels.tests.test_amplitude_damping.test_amplitude_damping",,33,22,7,5,,,2,0.32,
Function,"channels.tests.test_amplitude_damping.test_input_and_return_type",,12,8,3,2,,,1,0.38,
Function,"channels.tests.test_amplitude_damping.test_invalid_dimension",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_amplitude_damping.test_invalid_parameters",,7,5,1,1,,,1,0.20,
Function,"channels.tests.test_bitflip.test_apply_to_mixed_state",,8,6,1,1,,,0,0.17,
Function,"channels.tests.test_bitflip.test_apply_to_state",,4,3,1,1,,,0,0.33,
Function,"channels.tests.test_bitflip.test_bitflip_probabilities",,4,3,1,1,,,0,0.33,
Function,"channels.tests.test_bitflip.test_invalid_dimension",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_bitflip.test_invalid_probability",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_bitflip.test_kraus_operators",,9,7,2,1,,,0,0.29,
Function,"channels.tests.test_choi.test_choi_reduction",,23,17,3,1,,,0,0.18,
Function,"channels.tests.test_choi.test_choi_standard",,20,17,1,1,,,0,0.06,
Function,"channels.tests.test_dephasing.test_dephasing_completely_dephasing",,10,6,1,1,,,0,0.17,
Function,"channels.tests.test_dephasing.test_dephasing_partially_dephasing",,10,7,1,1,,,0,0.14,
Function,"channels.tests.test_depolarizing.test_depolarizing_complete_depolarizing",,10,6,1,1,,,0,0.17,
Function,"channels.tests.test_depolarizing.test_depolarizing_partially_depolarizing",,10,7,1,1,,,0,0.14,
Function,"channels.tests.test_partial_trace.test_invalid_input",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_partial_trace.test_is_trace_prserving",,4,3,1,1,,,0,0.33,
Function,"channels.tests.test_partial_trace.test_partial_trace_cvxpy",,5,4,1,1,,,0,0.25,
Function,"channels.tests.test_partial_transpose.test_partial_transpose",,14,6,4,1,,,0,0.67,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_16_by_16_subsystems_2_2_2_2",,253,232,11,1,,,0,0.05,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_6_by_6_subsystems_2_3",,48,41,4,1,,,0,0.10,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_6_by_6_subsystems_3_2",,48,41,4,1,,,0,0.10,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_8_by_8_subsystems_2_2_2",,105,92,7,1,,,0,0.08,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_8_by_8_subsystems_2_4",,54,47,4,1,,,0,0.09,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_8_by_8_subsystems_4_2",,54,47,4,1,,,0,0.09,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_bell_state",,6,5,1,1,,,0,0.20,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_bipartite",,21,14,4,1,,,0,0.29,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_cvxpy",,5,4,1,1,,,0,0.25,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_non_square",,12,8,1,1,,,0,0.13,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_non_square_matrix",,5,4,1,1,,,1,0.25,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_non_square_matrix_2",,5,4,1,1,,,1,0.25,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_norm_diff",,11,5,4,1,,,0,0.80,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_sys",,14,6,4,1,,,0,0.67,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_sys_int",,10,6,1,1,,,0,0.17,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_sys_vec",,10,6,1,1,,,0,0.17,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_sys_vec_dim_vec",,10,6,1,1,,,0,0.17,
Function,"channels.tests.test_partial_transpose.test_partial_transpose_three_subsystems",,9,6,1,1,,,0,0.17,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_choi_matrix_properties",,30,14,7,1,,,0,0.50,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_dimensions",,5,4,1,1,,,0,0.25,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_input_matrix_properties",,28,13,6,1,,,0,0.46,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_kraus_operators",,19,8,6,2,,,1,0.75,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_valid_probability",,11,10,1,1,,,1,0.10,
Function,"channels.tests.test_pauli_channel.test_pauli_channel_zero_probability",,11,5,4,3,,,2,0.80,
Function,"channels.tests.test_phase_damping.test_apply_to_states",,13,9,1,2,,,1,0.11,
Function,"channels.tests.test_phase_damping.test_input_and_return_type",,12,8,3,2,,,1,0.38,
Function,"channels.tests.test_phase_damping.test_invalid_dimension",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_phase_damping.test_invalid_gamma",,4,3,1,1,,,1,0.33,
Function,"channels.tests.test_phase_damping.test_kraus_operators",,15,11,1,3,,,1,0.09,
Function,"channels.tests.test_realignment.test_realignment_int_dim",,8,5,1,1,,,0,0.20,
Function,"channels.tests.test_realignment.test_realignment_non_square",,23,18,4,1,,,0,0.22,
Function,"channels.tests.test_realignment.test_realignment_non_square_list_dims",,19,18,1,1,,,0,0.06,
Function,"channels.tests.test_realignment.test_realignment_two_qubit",,9,4,4,1,,,0,1.00,
Function,"channels.tests.test_reduction.test_reduction_map",,15,14,1,1,,,0,0.07,
Function,"channels.tests.test_reduction.test_reduction_map_dim_3_k_2",,19,17,1,1,,,0,0.06,
Module File,"chessboard.py",3,65,12,40,0,3,,1,3.33,3
Module File,"choi.py",1,106,5,79,0,1,,0,15.80,1
Module File,"choi_rank.py",3,82,8,56,0,3,,1,7.00,3
Module File,"choi_to_kraus.py",3,126,33,68,0,3,,2,2.06,3
Module File,"cnot.py",1,40,3,25,0,1,,0,8.33,1
Module File,"common_quantum_overlap.py",1,78,6,49,0,1,,0,8.17,1
Module File,"complementary_channel.py",6,103,19,63,0,6,,1,3.32,6
Module File,"completely_bounded_spectral_norm.py",1,35,5,20,0,1,,0,4.00,1
Module File,"completely_bounded_trace_norm.py",4,71,26,26,0,4,,1,1.00,4
Module File,"concurrence.py",2,89,11,51,0,2,,1,4.64,2
Module File,"conf.py",1,121,66,36,1,1,,0,0.55,1
Module File,"cyclic_permutation_matrix.py",1,59,7,38,0,1,,0,5.43,1
Module File,"dephasing.py",1,89,5,61,0,1,,0,12.20,1
Module File,"depolarizing.py",1,95,5,64,0,1,,0,12.80,1
Module File,"diamond_distance.py",1,54,4,35,0,1,,0,8.75,1
Module File,"dicke.py",4,74,16,41,0,4,,1,2.56,4
Module File,"domino.py",10,105,24,61,0,10,,0,2.54,10
Module File,"dual_channel.py",6,97,16,62,0,6,,2,3.88,6
Module File,"entanglement_of_formation.py",10,105,36,45,0,10,,2,1.25,10
Module File,"expr_as_np_array.py",4,23,13,6,0,4,,1,0.46,4
Module File,"extended_nonlocal_game.py",10,469,262,127,0,25,,5,0.48,67
Module File,"fidelity.py",4,87,18,47,0,4,,1,2.61,4
Module File,"fidelity_of_separability.py",5,178,54,87,0,5,,1,1.61,5
Module File,"fidelity_of_separability.py",6,181,49,95,0,6,,1,1.94,6
Module File,"fourier.py",1,60,6,40,0,1,,0,6.67,1
Module File,"gell_mann.py",11,124,27,79,0,11,,1,2.93,11
Module File,"gen_bell.py",1,108,6,77,0,1,,0,12.83,1
